Analyzer:	Hewlett-Packard, E4407B, SG45102005, A.14.06
Angle Counter:	SA 1885 FIRMWARE # A323537A
Number of angles:	2026
Start to End Frequency	2022.5000MHz	2022.5000MHz

Field Amplitude
		Frequencies [MHz]
Angle	2022.50
73.89	-78.733
73.65	-83.815
73.42	-86.042
73.25	-82.629
73.02	-79.943
72.87	-79.412
72.62	-74.951
72.46	-76.036
72.23	-75.251
72.07	-75.251
71.82	-72.815
71.67	-72.396
71.42	-72.396
71.25	-71.022
71.02	-70.979
70.86	-70.979
70.70	-71.534
70.47	-71.548
70.31	-72.375
70.07	-72.579
69.91	-73.515
69.67	-73.598
69.51	-73.750
69.27	-76.512
69.12	-74.184
68.96	-75.677
68.71	-78.064
68.48	-79.654
68.32	-81.781
68.08	-80.733
67.92	-81.452
67.69	-79.672
67.53	-79.674
67.30	-77.878
67.14	-75.295
66.90	-75.589
66.74	-74.119
66.50	-73.801
66.26	-73.487
66.10	-72.646
65.79	-71.831
65.62	-71.772
65.46	-71.597
65.23	-71.480
65.07	-70.677
64.83	-70.881
64.61	-71.298
64.44	-71.940
64.20	-72.258
64.04	-72.391
63.81	-72.385
63.64	-71.604
63.41	-72.493
63.25	-72.579
63.01	-72.056
62.85	-73.867
62.69	-72.578
62.45	-73.546
62.22	-74.992
62.06	-73.426
61.82	-74.295
61.66	-75.686
61.51	-73.910
61.27	-74.651
61.11	-74.651
60.87	-74.199
60.72	-72.251
60.48	-73.807
60.31	-71.070
60.08	-72.328
59.84	-71.649
59.68	-70.769
59.45	-70.207
59.21	-70.207
59.05	-69.150
58.81	-69.309
58.66	-69.309
58.41	-69.734
58.26	-69.949
58.02	-69.949
57.86	-71.664
57.63	-71.089
57.47	-72.175
57.30	-73.799
57.06	-74.081
56.91	-74.883
56.68	-72.633
56.44	-73.679
56.28	-73.679
55.96	-72.772
55.81	-71.765
55.65	-71.765
55.41	-71.318
55.25	-69.873
55.02	-70.440
54.78	-69.976
54.62	-69.809
54.38	-68.998
54.14	-69.355
53.97	-69.112
53.74	-69.112
53.59	-69.953
53.35	-70.411
53.12	-70.411
52.96	-71.262
52.80	-70.641
52.56	-70.641
52.41	-72.076
52.17	-72.962
51.93	-73.112
51.77	-73.999
51.54	-74.486
51.37	-74.486
51.14	-74.595
50.99	-74.709
50.75	-73.790
50.59	-74.077
50.36	-73.409
50.20	-72.053
49.97	-71.411
49.81	-72.631
49.65	-71.493
49.41	-70.239
49.26	-69.366
49.02	-70.055
48.77	-70.055
48.62	-67.674
48.38	-67.224
48.22	-67.224
47.99	-66.705
47.83	-65.701
47.68	-65.701
47.44	-65.166
47.21	-64.910
47.05	-65.112
46.81	-64.663
46.58	-64.529
46.42	-64.676
46.18	-65.163
46.02	-64.544
45.86	-64.584
45.62	-64.660
45.46	-64.683
45.23	-64.345
45.07	-64.345
44.83	-64.399
44.69	-64.345
44.45	-64.345
44.29	-63.968
44.13	-63.616
43.89	-63.616
43.73	-62.831
43.50	-62.961
43.34	-62.961
43.10	-62.545
42.94	-62.548
42.70	-62.396
42.54	-61.667
42.31	-61.509
42.08	-61.240
41.92	-61.553
41.69	-61.291
41.53	-61.291
41.29	-61.129
41.13	-61.111
40.90	-61.395
40.75	-61.537
40.58	-61.449
40.35	-61.619
40.19	-62.101
39.95	-62.124
39.72	-62.379
39.56	-62.663
39.41	-63.034
39.17	-63.238
38.94	-64.195
38.79	-63.827
38.54	-64.108
38.39	-64.304
38.23	-64.329
38.00	-65.274
37.84	-65.651
37.61	-65.662
37.44	-66.405
37.21	-66.405
37.05	-66.799
36.82	-66.609
36.58	-66.924
36.35	-66.317
36.20	-66.910
35.96	-66.700
35.80	-65.948
35.57	-66.770
35.41	-65.757
35.17	-66.170
35.01	-65.020
34.78	-65.020
34.61	-65.270
34.38	-65.694
34.21	-65.694
34.05	-65.904
33.82	-65.746
33.66	-65.746
33.42	-65.352
33.19	-66.000
33.04	-66.252
32.80	-66.895
32.64	-67.215
32.41	-67.314
32.25	-68.683
32.01	-68.364
31.86	-68.175
31.61	-69.224
31.38	-69.548
31.22	-69.548
30.98	-71.354
30.82	-72.518
30.60	-72.899
30.44	-73.889
30.20	-74.556
30.05	-73.741
29.81	-74.084
29.65	-77.731
29.49	-73.766
29.26	-73.766
29.10	-74.431
28.85	-73.396
28.70	-73.396
28.45	-72.813
28.29	-72.962
28.06	-72.637
27.91	-71.428
27.67	-72.515
27.51	-72.263
27.28	-70.531
27.03	-70.351
26.88	-70.212
26.64	-69.360
26.48	-70.149
26.32	-69.235
26.08	-68.759
25.92	-68.181
25.68	-68.242
25.52	-66.799
25.29	-66.320
25.13	-65.505
24.90	-65.505
24.75	-65.955
24.51	-66.159
24.35	-66.159
24.11	-65.352
23.96	-65.397
23.72	-65.397
23.56	-65.074
